branch,peak_time_s,peak_power_W_m3,peak_power_W_cm3,peak_Ue_keV,peak_eta,peak_D_loading,peak_defect_state,peak_mode_envelope,integrated_energy_J_m3,peak_neutron_rate_m3_s_if_standard_DD
B_pulsed_staged,79.59,234036.05105786517,0.23403605105786518,1.4770365574265887,2.5994668696286026e-11,0.975814958979056,0.38573922816892864,2.750550351436382,208510.51490574845,2.0010111457926413e+17
B_equal_energy_continuous,80.0,1.6801939710278627e-54,1.6801939710278627e-60,0.03997175644234947,1.791333492637629e-13,0.9787818344111263,0.325680591131006,0.7999999999999994,5.474409532680348e-53,1.436567933838996e-42
