branch,eta,power_W_m3,power_W_cm3
A_eta_1e-14,1e-14,519.9960000000019,0.000519996000000002
A_eta_1e-12,1e-12,51999.60000000019,0.05199960000000019
A_eta_1e-11,1e-11,519996.00000000186,0.5199960000000019
A_eta_1e-10,1e-10,5199960.00000002,5.1999600000000195
