E_cm_keV,PdD_Ue_1p7_enhancement,TiD_Ue_0p9_enhancement
0.25,3.209755348719304e+17,359647872114395.44
0.5,12316555083.063519,57468934.03522878
1.0,217378.2692284991,5537.07784231215
2.0,357.27598290266235,43.123943513376084
2.5,93.41379609083542,16.941942955045146
3.0,38.27168135543103,9.286645937922918
6.5,3.8597738424769727,2.1665799079074084
