alloy,atomic_fraction_Pd,atomic_fraction_partner,effective_absorption_b_per_atom,effective_element_change_b_per_atom,fraction_absorptions_that_change_element_3y,percent_absorptions_that_change_element_3y,fraction_captures_on_Pd,fraction_captures_on_partner
Pd50-La50,0.5,0.5,7.956341699999999,5.6227301,0.7066979162043783,70.66979162043782,0.43609366349864037,0.5639063365013597
Pd50-Y50,0.5,0.5,4.1097102,1.8017486000000003,0.43841256738735496,43.841256738735495,0.8442712578614424,0.15572874213855759
Pd50-Ce50,0.5,0.5,3.7828182000000004,1.4748566,0.3898830242489581,38.98830242489581,0.9172289062160058,0.08277109378399417
Pd50-Nd50,0.5,0.5,28.927755200000004,1.3877336000000002,0.047972391580526096,4.7972391580526095,0.11994398376269444,0.8800560162373056
Pd50-Gd50,0.5,0.5,24858.5084402,2.2534786,9.065220487468113e-05,0.009065220487468113,0.00013957837447676263,0.9998604216255232
