N_liquid_over_N_solid,sqrt_Tsolid_over_Tliquid_1overv_factor,hypothetical_internal_event_source_liquid_over_solid,transmutation_rate_liquid_over_solid
0.94,0.9900495037128094,0.01,0.009306465334900408
0.94,0.9900495037128094,0.1,0.09306465334900409
0.94,0.9900495037128094,1.0,0.9306465334900408
0.94,0.9900495037128094,10.0,9.306465334900407
0.94,0.9900495037128094,100.0,93.06465334900408
0.97,0.9900495037128094,0.01,0.009603480186014252
0.97,0.9900495037128094,0.1,0.09603480186014252
0.97,0.9900495037128094,1.0,0.9603480186014252
0.97,0.9900495037128094,10.0,9.603480186014252
0.97,0.9900495037128094,100.0,96.03480186014252
0.99,0.9900495037128094,0.01,0.009801490086756813
0.99,0.9900495037128094,0.1,0.09801490086756814
0.99,0.9900495037128094,1.0,0.9801490086756813
0.99,0.9900495037128094,10.0,9.801490086756813
0.99,0.9900495037128094,100.0,98.01490086756813
1.0,0.9900495037128094,0.01,0.009900495037128094
1.0,0.9900495037128094,0.1,0.09900495037128094
1.0,0.9900495037128094,1.0,0.9900495037128094
1.0,0.9900495037128094,10.0,9.900495037128094
1.0,0.9900495037128094,100.0,99.00495037128094
